ensembl_transcript_id_version,gene_name
ENST00000401089,SZRD1
ENST00000401088,SZRD1
ENST00000492354,SZRD1
ENST00000335496,SPATA21
ENST00000540400,SPATA21
ENST00000375577,SPATA21
ENST00000612240,SPATA21
ENST00000504551,NECAP2
ENST00000457722,NECAP2
ENST000003371320,NECAP2
ENST00000443980,NECAP2
ENST00000430580,NBPF1
ENST00000432949,NBPF1
ENST000003755410,CROCC
ENST00000375534,MFAP2
ENST00000375535,MFAP2
ENST00000341676,ATP13A2
ENST000003267353,ATP13A2
ENST00000452699,ATP13A2
ENST00000617114,RP1-37C10.8
ENST00000375499,SDHB
ENST00000375486,PADI2
ENST00000375481,PADI2
ENST00000375471,PADI1
ENST00000375460,PADI3
ENST00000375453,PADI4
ENST00000375448,PADI4
ENST00000619609,PADI6
ENST00000375436,RCC2
ENST00000375433,RCC2
ENST00000361221,ARHGEF10L
ENST00000375415,ARHGEF10L
ENST00000375408,ARHGEF10L
ENST00000375406,ACTL8
ENST00000617065,ACTL8
ENST00000251296,IGSF21
ENST00000400664,KLHDC7A
ENST00000420770,PAX7
ENST00000375375,PAX7
ENST00000400661,PAX7
ENST00000375371,TAS1R2
ENST00000290597,ALDH4A1
ENST00000375341,ALDH4A1
ENST00000538839,ALDH4A1
ENST00000538309,ALDH4A1
ENST00000455833,IFFO2
ENST00000375225,UBR4
ENST00000375254,UBR4
ENST00000375224,UBR4
ENST00000375218,UBR4
ENST00000477853,EMC1
ENST00000375199,EMC1
ENST00000375208,EMC1
ENST00000330263,MRTO4
ENST00000420396,AKR7L
ENST00000361640,AKR7A3
ENST00000235835,AKR7A2
ENST00000375155,SLC66A1
ENST00000375153,SLC66A1
ENST00000400548,SLC66A1
ENST00000264202,CAPZB
ENST00000264203,CAPZB
ENST00000375142,CAPZB
ENST00000375144,CAPZB
ENST00000674432,CAPZB
ENST00000433834,CAPZB
ENST00000648702,MICOS10
ENST00000617872,MICOS10
ENST00000322753,MICOS10
ENST00000602662,NBL1
ENST00000289749,NBL1
ENST00000622566,NBL1
ENST00000621723,NBL1
ENST00000375136,NBL1
ENST00000618761,NBL1
ENST00000615215,NBL1
ENST00000548815,NBL1
ENST00000602384,MICOS10-NBL1
ENST00000289753,HTR6
ENST00000375127,TMCO4
ENST000002945431,TMCO4
ENST00000375121,RNF186
ENST00000375120,OTUD3
ENST00000375116,PLA2G2E
ENST00000400520,PLA2G2A
ENST00000649436,PLA2G2A
ENST00000375111,PLA2G2A
ENST00000482011,PLA2G2A
ENST00000375108,PLA2G5
ENST00000375105,PLA2G2D
ENST00000617227,PLA2G2D
ENST00000375102,PLA2G2F
ENST00000429261,PLA2G2C
ENST00000679259,PLA2G2C
ENST00000247992,PLA2G2C
ENST00000375099,UBXN10
ENST000002898153,VWA5B1
ENST00000375079,VWA5B1
ENST00000375078,CAMK2N1
ENST00000264198,MUL1
ENST00000332947,FAM43B
ENST00000375071,CDA
ENST00000321556,PINK1
ENST00000415136,DDOST
ENST00000602624,DDOST
ENST00000375044,KIF17
ENST00000400463,KIF17
ENST00000247986,KIF17
ENST00000444387,SH2D5
ENST00000375031,SH2D5
ENST000003122390,HP1BP3
ENST00000375003,HP1BP3
ENST00000375000,HP1BP3
ENST00000374935,EIF4G3
ENST000002642112,EIF4G3
ENST00000602326,EIF4G3
ENST00000684485,EIF4G3
ENST00000400422,EIF4G3
ENST00000634879,EIF4G3
ENST00000356916,EIF4G3
ENST00000682284,EIF4G3
ENST00000415912,ECE1
ENST000003748931,ECE1
ENST00000649812,ECE1
ENST00000357071,ECE1
ENST00000436918,ECE1
ENST000002642050,ECE1
ENST00000454000,NBPF3
ENST000003182490,NBPF3
ENST00000342104,NBPF3
ENST00000619554,NBPF3
ENST00000374840,ALPL
ENST00000539907,ALPL
ENST00000540617,ALPL
ENST00000374832,ALPL
ENST00000290101,RAP1GAP
ENST00000374763,RAP1GAP
ENST00000374761,RAP1GAP
ENST00000374765,RAP1GAP
ENST00000542643,RAP1GAP
ENST00000495204,RAP1GAP
ENST000003082714,USP48
ENST00000400301,USP48
ENST00000374732,USP48
ENST00000529637,USP48
ENST00000421625,USP48
ENST00000344642,LDLRAD2
ENST00000543870,LDLRAD2
ENST00000374695,HSPG2
ENST000003371071,CELA3B
ENST00000290122,CELA3A
ENST00000648594,CDC42
ENST00000400259,CDC42
ENST00000344548,CDC42
ENST000003155543,CDC42
ENST00000656825,CDC42
ENST00000667384,CDC42
ENST00000662562,CDC42
ENST000002901671,WNT4
ENST00000375647,ZBTB40
ENST00000404138,ZBTB40
ENST00000374651,ZBTB40
ENST00000166244,EPHA8
ENST00000374644,EPHA8
ENST00000374642,C1QA
ENST00000402322,C1QA
ENST00000374640,C1QC
ENST00000374639,C1QC
ENST00000374637,C1QC
ENST00000509305,C1QB
ENST00000544305,EPHB2
ENST00000374630,EPHB2
